"";"2021-01-22"
"1257";"A41315"
"1258";"C13009"
"1259";"C13023"
"1260";"C13035"
"1261";"C30043"
"1262";"C30155"
"1263";"C30161"
"1264";"C30219"
"1265";"C47508"
"1266";"C47658"
"1267";"C47660"
"1268";"C47673"
"1269";"C47709"
"1270";"C47744"
"1271";"C47750"
"1272";"C47763"
"1273";"C47814"
"1274";"D13073"
"1275";"D13090"
"1276";"D13116"
"1277";"D13205"
"1278";"D13295"
"1279";"A27559"
"1280";"B11524"
"1281";"B11527"
"1282";"B11573"
"1283";"B11597"
"1284";"B11602"
"1285";"B11610"
"1286";"B71012"
"1287";"B10029"
"1288";"B10135"
"1289";"B10517"
"1290";"A50009"
"1291";"A50010"
"1292";"A50016"
"1293";"A50017"
"1294";"A50052"
"1295";"A72026"
"1296";"A72082"
"1297";"A29045"
"1298";"A29111"
"1299";"B42519"
"1300";"A48086"
"1301";"D53576"
"1302";"A63532"
"1303";"A63535"
"1304";"B63011"
"1305";"B27019"
"1306";"B27025"
"1307";"B27102"
"1308";"D86795"
"1309";"B28524"
"1310";"B28531"
"1311";"B28551"
"1312";"B58173"
"1313";"B51617"
"1314";"C51557"
"1315";"C51590"
"1316";"C51615"
"1317";"C51654"
"1318";"B25507"
"1319";"A71545"
"1320";"D17165"
"1321";"D87764"
"1322";"D87834"
"1323";"B32571"
"1324";"B32593"
"1325";"B32631"
"1326";"B32664"
"1327";"B32749"
"1328";"B32761"
"1329";"B32787"
"1330";"B32844"
"1331";"C12025"
"1332";"C12039"
"1333";"D12160"
"1334";"B44514"
"1335";"B44523"
"1336";"B44634"
"1337";"B44687"
"1338";"B31118"
"1339";"A41017"
"1340";"A41169"
"1341";"A41181"
"1342";"A41231"
"1343";"A41438"
"1344";"C41010"
"1345";"C41089"
"1346";"C41130"
"1347";"C41393"
"1348";"C41394"
"1349";"C13030"
"1350";"C30048"
"1351";"C30183"
"1352";"C30211"
"1353";"C30347"
"1354";"C30368"
"1355";"C47478"
"1356";"C47501"
"1357";"C47526"
"1358";"C47716"
"1359";"C47825"
"1360";"D13230"
"1361";"D13280"
"1362";"D13360"
"1363";"D13361"
"1364";"A27506"
"1365";"A27664"
"1366";"B11605"
"1367";"B11608"
"1368";"B11655"
"1369";"B71072"
"1370";"B71129"
"1371";"B10137"
"1372";"B10144"
"1373";"B10145"
"1374";"B10507"
"1375";"B10512"
"1376";"B10554"
"1377";"A50025"
"1378";"A50095"
"1379";"A50138"
"1380";"A72039"
"1381";"B42518"
"1382";"B42551"
"1383";"B42601"
"1384";"B42639"
"1385";"C42507"
"1386";"C42537"
"1387";"C42669"
"1388";"A48026"
"1389";"A48027"
"1390";"A48107"
"1391";"A48179"
"1392";"D53600"
"1393";"D53697"
"1394";"A63536"
"1395";"B63034"
"1396";"B63110"
"1397";"B27036"
"1398";"B27104"
"1399";"B27130"
"1400";"D86045"
"1401";"D86054"
"1402";"D86089"
"1403";"D86176"
"1404";"D86180"
"1405";"D86282"
"1406";"D86720"
"1407";"D86722"
"1408";"B28505"
"1409";"B28521"
"1410";"B28525"
"1411";"B28602"
"1412";"B28604"
"1413";"B58028"
"1414";"B58030"
"1415";"B58107"
"1416";"B51545"
"1417";"B51600"
"1418";"C51616"
"1419";"C51633"
"1420";"C51650"
"1421";"B25509"
"1422";"A71519"
"1423";"D17003"
"1424";"D87026"
"1425";"D87867"
"1426";"B32504"
"1427";"B32533"
"1428";"B32636"
"1429";"B32640"
"1430";"B32701"
"1431";"B32748"
"1432";"B32788"
"1433";"B32793"
"1434";"B32816"
"1435";"C12036"
"1436";"D12144"
"1437";"C44545"
"1438";"B31119"
"1439";"A41002"
"1440";"A41062"
"1441";"A41124"
"1442";"A41173"
"1443";"A41240"
"1444";"A41277"
"1445";"A41278"
"1446";"C41348"
"1447";"C30010"
"1448";"C30030"
"1449";"C30042"
"1450";"C30091"
"1451";"C30331"
"1452";"C30334"
"1453";"C30343"
"1454";"C47706"
"1455";"D13098"
"1456";"D13157"
"1457";"D13220"
"1458";"D13334"
"1459";"D13375"
"1460";"B11502"
"1461";"B11510"
"1462";"B11519"
"1463";"B11526"
"1464";"B11559"
"1465";"B11572"
"1466";"B11604"
"1467";"B11606"
"1468";"B11622"
"1469";"B11630"
"1470";"B71080"
"1471";"B71143"
"1472";"B10008"
"1473";"B10035"
"1474";"B10078"
"1475";"B10079"
"1476";"B10103"
"1477";"B10518"
"1478";"B10546"
"1479";"A50026"
"1480";"A50049"
"1481";"A50168"
"1482";"A72116"
"1483";"A29014"
"1484";"A29086"
"1485";"A29149"
"1486";"A29183"
"1487";"B42573"
"1488";"B42631"
"1489";"A48037"
"1490";"A48102"
"1491";"A48109"
"1492";"A48115"
"1493";"A48119"
"1494";"A48149"
"1495";"A48167"
